id,scan_type,name,description,category,policy_url,remediation_url,created_at,updated_at
81959ec3-2b6d-4bd4-b94b-6ce2533524bb,external_vulnerability,No High and Up external vulnerabilities,No High and Up scored external vulnerability to be present in an analyzed project.,Vulnerabilities,url,url,2018-05-31 16:59:25.89316,2018-05-31 16:59:25.89316
a053a87e-2e69-4f32-8d6f-fe61bd686821,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 0%,"Compares code coverage against the prior analysis, and checks for any drop in code coverage.",external_coverage,url,url,2018-05-31 16:59:25.900435,2018-05-31 16:59:25.900435
ae0c3362-620d-488b-baad-6d1c63ea8ce7,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 1%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 1%.",external_coverage,url,url,2018-05-31 16:59:25.903807,2018-05-31 16:59:25.903807
60c64600-b826-4691-9b21-e3b6f918d0a9,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 2%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 2%.",external_coverage,url,url,2018-05-31 16:59:25.906739,2018-05-31 16:59:25.906739
d42d82c7-ac71-4d65-a4bc-27df95e45933,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 3%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 3%.",external_coverage,url,url,2018-05-31 16:59:25.909887,2018-05-31 16:59:25.909887
f9b58a44-b614-4b92-adc7-11105371cdc4,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 4%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 4%.",external_coverage,url,url,2018-05-31 16:59:25.912373,2018-05-31 16:59:25.912373
774e040a-818f-4a02-81ad-4cab376f1c4b,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 5%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 5%.",external_coverage,url,url,2018-05-31 16:59:25.914869,2018-05-31 16:59:25.914869
c14ceff3-96f9-47a4-a933-1895e435bbd4,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 6%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 6%.",external_coverage,url,url,2018-05-31 16:59:25.921257,2018-05-31 16:59:25.921257
3dc3084d-dba5-4f1d-9913-eea16e5b35c2,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 7%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 7%.",external_coverage,url,url,2018-05-31 16:59:25.925446,2018-05-31 16:59:25.925446
09e28982-e3bd-4380-8712-a526cb024130,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 8%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 8%.",external_coverage,url,url,2018-05-31 16:59:25.931303,2018-05-31 16:59:25.931303
d6d5233d-1c0e-43f6-b2a3-57ed12efa5e6,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 9%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 9%.",external_coverage,url,url,2018-05-31 16:59:25.936561,2018-05-31 16:59:25.936561
844876ff-6c10-4aa8-943d-ca03c0a69d18,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 10%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 10%.",external_coverage,url,url,2018-05-31 16:59:25.940134,2018-05-31 16:59:25.940134
276bbec3-cc77-44b9-a46d-c7760947ec9d,dependencies_version_exist,Dependencies Version Exist,Checks to ensure all dependencies have an explicit version defined instead of allowing latest to always be used.,Dependencies,url,url,2018-05-31 16:59:25.946523,2018-05-31 16:59:25.946523
00be1862-959c-45d8-8fb5-2b748fe854d6,vulnerabilities,High And Up Vulnerabilities < 1,No more than 1 High And Up scored vulnerability to be present in an analyzed project.,Vulnerabilities,url,url,2018-05-31 16:59:25.949946,2018-05-31 16:59:25.949946
0f170f1c-8934-4211-b0fe-0e52099f81cb,vulnerabilities,High And Up Vulnerabilities < 2,No more than 2 High And Up scored vulnerabilities to be present in an analyzed project.,Vulnerabilities,url,url,2018-05-31 16:59:25.957111,2018-05-31 16:59:25.957111
b4fa3ece-5998-4004-baf0-14e3114aa236,vulnerabilities,High And Up Vulnerabilities < 3,No more than 3 High And Up scored vulnerabilities to be present in an analyzed project.,Vulnerabilities,url,url,2018-05-31 16:59:25.964592,2018-05-31 16:59:25.964592
0239f0f8-c522-3fc4-7f32-ebdf6636f4f0,external_coverage,Code Coverage > 50%,The analyzed project must have greater than 50% code coverage.,Code Coverage,url,url,2018-05-31 16:59:25.971888,2018-05-31 16:59:25.971888
15ce3fee-5d9d-2c15-06c4-f167df2168d6,external_coverage,Code Coverage > 60%,The analyzed project must have greater than 60% code coverage.,Code Coverage,url,url,2018-05-31 16:59:25.976692,2018-05-31 16:59:25.976692
d928de6b-9aa0-2b98-4663-17c23d68efc3,external_coverage,Code Coverage > 70%,The analyzed project must have greater than 70% code coverage.,Code Coverage,url,url,2018-05-31 16:59:25.984194,2018-05-31 16:59:25.984194
786adcff-70d7-3f4e-cee2-385068ae0ed1,external_coverage,Code Coverage > 80%,The analyzed project must have greater than 80% code coverage.,Code Coverage,url,url,2018-05-31 16:59:25.98836,2018-05-31 16:59:25.98836
865b64e5-d9d9-36ce-d715-82e88146dd11,external_coverage,Code Coverage > 90%,The analyzed project must have greater than 90% code coverage.,Code Coverage,url,url,2018-05-31 16:59:25.991875,2018-05-31 16:59:25.991875
c30b9179-56c3-040d-aa2c-571ef31dbe3a,about_yml,Has a valid .about.yml file,The project source is required to include a valid .about.yml file.,About Dot Yaml,url,url,2018-05-31 16:59:26.000465,2018-05-31 16:59:26.000465
1c373d1f-abe8-432f-ae46-002fe2b218ca,license,Has a valid license file,The project source is required to include a valid license file.,License,url,url,2018-05-31 16:59:26.004267,2018-05-31 16:59:26.004267
f746023f-16cc-46db-9422-1e4e3364ab97,virus,Has no viruses,The project must not have any viruses found in the analysis.,Virus,url,url,2018-05-31 16:59:26.010324,2018-05-31 16:59:26.010324
